Substance,Reaction ID,Concentration,diffusion constant
Orthophosphate,EX_EC0009,0.1,1.20E-005
Cobalt,EX_EC0144,0.1,1.20E-005
H2O,EX_EC0001,0.1,1.20E-005
Magnesium,EX_EC0248,0.1,1.20E-005
Nitrogen,EX_EC0518,0.1,1.20E-005
Zinc,EX_EC0034,0.1,1.20E-005
Sodium,EX_EC0954,0.1,1.20E-005
Cadmium,EX_EC0994,0.1,1.20E-005
Copper,EX_EC0056,0.1,1.20E-005
NH4+,EX_EC0957,0.1,1.20E-005
CO2,EX_EC0011,0.1,1.20E-005
D-Glucose,EX_EC0027,0.05,1.68E-006
Sulfate,EX_EC0048,0.1,1.20E-005
Manganese,EX_EC0030,0.1,1.20E-005
Iron,EX_EC0021,0.1,1.20E-005
H+,EX_EC0065,0.1,1.20E-005
Potassium,EX_EC0197,0.1,1.20E-005
Oxygen,EX_EC0007,0.1,1.20E-005
